place_id,place_name,address,place_overall_rating,place_review_count,review_rating,text,time,relative_time,language,author,kw_appointment,kw_booking,kw_schedule,kw_cancel,kw_no_show,kw_whatsapp,kw_wait_delay,is_booking_issue,is_timing_issue,is_negative_le2,is_negative_le3
ChIJl3Q-jWrO5zsRwVf4CoA8ATA,New Light Beauty saloon,"219/23, Shop 6, Belasis Road, Near tahoora sweets, Nagpada Nagpada, KP MARKET, junction, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",4.8,1298,1,"hi guys! i am seema jadhav, new light beauty saloon recommended me, my best friend for my hair colour & hair booster, i always trust him because he suggest always best for me but this time his suggestion was wrong for me, i did booster treatment on my hair 8th jun 2025 in new light beauty saloon, after that my hair broken problem,hair fall problem start so badly after the booster treatment there staff asked me open the google for the make a warranty card for the booster treatment, i trust him and gave it to him my phone that time i can't check this guy what to do in my google, yesterday night i thought post the review for new light beauty saloon and i was open the google review for post my rating that time i was shocked😯, 5 star rating already done on my review, that time i remember that day the parlour guy lie with me and rated 5star by own on my behalf, immediately i deleted this review and now post my real review, i am dam sure new light beauty saloon newest 5 star all review done by only his staff, so guys don't trust on him, for the hair treatment you can't trust on this saloon.",1753954074,2 weeks ago,en,Seema Jadhav,False,False,False,False,False,False,False,False,False,True,True
ChIJl3Q-jWrO5zsRwVf4CoA8ATA,New Light Beauty saloon,"219/23, Shop 6, Belasis Road, Near tahoora sweets, Nagpada Nagpada, KP MARKET, junction, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",4.8,1298,5,"zainab khan.
yet till i am satisfy
let see after 1 week
the result",1754669115,a week ago,en,zainab khan,False,False,False,False,False,False,False,False,False,False,False
ChIJl3Q-jWrO5zsRwVf4CoA8ATA,New Light Beauty saloon,"219/23, Shop 6, Belasis Road, Near tahoora sweets, Nagpada Nagpada, KP MARKET, junction, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",4.8,1298,5,"this is flossy 2.8.2025

it was pleasure coming her and the staff name arman was really good 💯",1754148030,2 weeks ago,en,flossy chowdhary,False,False,False,False,False,False,False,False,False,False,False
ChIJl3Q-jWrO5zsRwVf4CoA8ATA,New Light Beauty saloon,"219/23, Shop 6, Belasis Road, Near tahoora sweets, Nagpada Nagpada, KP MARKET, junction, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",4.8,1298,5,"it was very gud experience.. very good staff.
masha allah i jus love my hair colour. thank you soo much to new life beauty salon team.. gud luck... 18th april 2025.",1744986535,4 months ago,en,Maria Murghay,False,False,False,False,False,False,False,False,False,False,False
ChIJl3Q-jWrO5zsRwVf4CoA8ATA,New Light Beauty saloon,"219/23, Shop 6, Belasis Road, Near tahoora sweets, Nagpada Nagpada, KP MARKET, junction, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",4.8,1298,5,"i got an all-protein treatment here and it was a very good treatment, thank you so much, very nice",1754058880,2 weeks ago,en,Jihan Hodar,False,False,False,False,False,False,False,False,False,False,False
ChIJz5AIeAC35zsRn4XX4Czog9I,Strivenii Hair and Beauty Salon,"34/269 Motilal Nagar 1, Gajanan Maharaj Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",4.9,1192,5,""" omg"" ... finally somebody who understands my need and cares as much... after a full 1 year review and insta follow, i finally made it to "" strivenii"".....
"" calm zone"" is what you get on entering.. no jarring music, no buzzing talks... just calm and tranquility....
started with making an appointment, the person who took the call was very polite and accomodating... i was running late because of the great mumbai traffic, yet when i reached there, i was received with a big smile and much warmth.
now with regards to the services and performance....i had an appointment for skin and hair.. basically what we women do 🙂. my skin texture was checked,  and then i was suggested accordingly... no forcefully sales or products or anything. cost wise it is reasonable and pocket friendly.
the facial was done to perfection.... pedicure  and manicure was a big "" wow"" just the way i like my feet and hands to be ( no cuts or bruises).... the massage along with it was mind blowing...
i got my hair cut, coloured and botox treatment done the next day. my hair texture was checked, colour suggest accordingly to my skin tone... during the entire process, evryone was involved,
end result.. "" truly pampered"" and definitely "" satisfied"".

a big "" thank you"" to
ms. sangitaa - ( the insta icon), ms. parvati ( ms. sangitaa' s mom - she was so sweet kept asking about comfort) ms. damini, ms.priti, ms.tanuja, ms. kashish, ms.rupa,

you guys are absolutely "" fantastic"".",1745674566,3 months ago,en,Karen Raghunathan,True,False,False,False,False,False,True,True,True,False,False
ChIJz5AIeAC35zsRn4XX4Czog9I,Strivenii Hair and Beauty Salon,"34/269 Motilal Nagar 1, Gajanan Maharaj Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",4.9,1192,5,"⭐⭐⭐⭐⭐
absolutely the best haircut and cleanup i’ve had!❤️❤️❤️✌️✌️✌️😘😘
the stylist was professional, attentive, and really understood the look i wanted. the haircut was sharp, clean, and perfectly styled. the cleanup was thorough – no stray hair left behind, and i walked out feeling fresh and confident. the salon was clean and had a relaxed vibe, and the service was quick without feeling rushed. highly recommend for anyone looking for a polished, stylish look. definitely coming back!❤️❤️",1748853670,2 months ago,en,Krutika Gavankar,False,False,False,False,False,False,False,False,False,False,False
ChIJz5AIeAC35zsRn4XX4Czog9I,Strivenii Hair and Beauty Salon,"34/269 Motilal Nagar 1, Gajanan Maharaj Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",4.9,1192,5,the team is a great one! they are very dedicated and good at their job.. my search for a great salon came to an end when i found striveni! keep up the good job guys😀,1754617975,a week ago,en,uma doshi,False,False,False,False,False,False,False,False,False,False,False
ChIJz5AIeAC35zsRn4XX4Czog9I,Strivenii Hair and Beauty Salon,"34/269 Motilal Nagar 1, Gajanan Maharaj Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",4.9,1192,5,"i recently moved to goregaon and came across this salon! i  am falling short of words to explain how impeccable the service was. the kind of hospitality i felt here was something which is very rare to find. i am defined coming back to this place. i’ve tried alot of salon in the last few years, this has set the bar really high for me! thank you to the entire team! ❤️🔆✨",1753969678,2 weeks ago,en,Shifa Ansari,False,False,False,False,False,False,False,False,False,False,False
ChIJz5AIeAC35zsRn4XX4Czog9I,Strivenii Hair and Beauty Salon,"34/269 Motilal Nagar 1, Gajanan Maharaj Rd, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104, India",4.9,1192,5,"absolutely loved my haircut!  owner was professional, friendly, and really understood what i wanted. the attention to detail was amazing, and the final result exceeded my expectations. highly recommend!”",1753541337,3 weeks ago,en,Zaiba Khan,False,False,False,False,False,False,False,False,False,False,False
